setting,system,method,method_label,seed,noise,sparse_factor,equation,candidate_id,threshold,support_size,rss,bic,ebic,active_terms,coefficients,n_regression_rows,n_library_terms,delta_ebic_from_best,true_support_size,true_active_terms,support_f1,coef_error,exact_support,exact_k
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,0,0.0,10,5.739980370501488,-883.5547504075256,-883.5547504075256,0;1;2;3;4;5;6;7;8;9,"[-0.056881545701965484, -0.9704537159326712, 2.269524016890571, 0.006264156630711612, -0.03551746181439983, 0.013570027435002843, -0.01734603125093587, -2.0988746452015223, 0.12033546365443798, -0.04471876476773887]",249,10,8.536675244871162,3,1;2;7,0.46153846153846156,0.10790635663504478,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,9,1.0,0,2848.4487975057436,1029.7147353981156,1029.7147353981156,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,3139.55372765412,1,2,0.0,1.0,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,5,0.01,1,228.90881800932004,-2112.1415773489985,-2109.8389922560045,2,"[0.0, 0.0, 1.0006952896858545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,1,2,1.0,0.0006952896858545277,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,0,0.0,10,228.30679352351817,-2051.2598567371224,-2051.2598567371224,0;1;2;3;4;5;6;7;8;9,"[-0.04238659910307392, -0.008318981883921023, 0.9400354383092107, 0.013426954875762152, -0.01900352389357041, 0.006856159230239606, 0.003835809904663743, 0.025063550380461437, -0.021225621981994174, 0.008627952598682544]",1249,10,58.57913551888214,1,2,0.18181818181818182,0.08495802168567793,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,9,1.0,2,2961.8355742736894,1092.7291953455556,1096.535857835326,2;7,"[0.0, 0.0, 1.985448475979017, 0.0, 0.0, 0.0, 0.0, -1.9650408982023602, 0.0, 0.0]",1249,10,3478.2546639320253,3,1;2;7,0.8,0.33357222866850006,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,6,0.03,3,181.67855564656404,-2386.5062978394817,-2381.7188060966996,1;2;7,"[0.0, -0.9941891386557371, 2.0016754884204193, 0.0, 0.0, 0.0, 0.0, -1.9921511602962505, 0.0, 0.0]",1249,10,0.0,3,1;2;7,1.0,0.003302821280601758,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,5,0.01,4,181.51617621713794,-2380.4930212602553,-2375.145913729538,0;1;2;7,"[-0.011508462814150714, -0.9939691018229473, 2.0008498342245598, 0.0, 0.0, 0.0, 0.0, -1.9923544069691654, 0.0, 0.0]",1249,10,6.572892367161785,3,1;2;7,0.8571428571428571,0.005033154082559261,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,4,0.003,8,180.57297271158262,-2358.4796647628564,-2354.6730022730862,0;1;2;3;4;5;7;8,"[-0.04783290246612407, -1.0018381811459955, 1.998214989606717, 0.004708002917263109, -0.027998527868727238, 0.011524476424600479, 0.0, -2.0026033234341436, 0.006940475819860504, 0.0]",1249,10,27.04580382361337,3,1;2;7,0.5454545454545454,0.019114844839136055,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,0,0.0,10,180.5314872997513,-2344.5064499615664,-2344.5064499615664,0;1;2;3;4;5;6;7;8;9,"[-0.045629140449368895, -1.0098569607006347, 2.017337293220961, 0.00400756236655464, -0.02759460835485267, 0.011231279869244312, 0.0016026800756815751, -2.0138337338928394, 0.015442310048610384, -0.0027622368001276386]",1249,10,37.21235613513318,3,1;2;7,0.46153846153846156,0.020611378063618586,0,0
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,9,1.0,0,523.6085616409426,185.0795807432812,185.0795807432812,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,1147.8657553043922,1,2,0.0,1.0,0,0
