setting,system,method,method_label,seed,noise,sparse_factor,equation,candidate_id,threshold,support_size,rss,bic,ebic,active_terms,coefficients,n_regression_rows,n_library_terms,delta_ebic_from_best,selection_rule,true_support_size,true_active_terms,support_f1,coef_error,exact_support,exact_k
PDE,burgers,tv_diff,TV,1,0.01,4,u_t,9,0.007,2,14.377400826037995,-11973.473432220118,-11970.141227709943,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9859053876104013, 0.0, 0.04682711649086135, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.014429302693997621,1,1
PDE,burgers,pod_tv_diff,POD+TV,1,0.01,4,u_t,10,0.01,2,17.26889380078409,-11542.47119584958,-11539.138991339405,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9843659069808577, 0.0, 0.04775878581726386, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.015774214431842168,1,1
PDE,burgers,baseline,Raw FD,2,0.01,4,u_t,14,0.03,2,64.80063774858964,-8432.166149297098,-8428.833944786922,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9570982922247535, 0.0, 0.039299318906040055, 0.0]",2352,8,10.179403137937697,elbow_ebic,2,4;6,1.0,0.044160906261112555,1,1
PDE,burgers,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,u_t,10,0.01,2,104.83721156112603,-19306.887665638886,-19303.55546112871,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9883301397663353, 0.0, 0.048659687866093336, 0.0]",5000,8,0.0,elbow_ebic,2,4;6,1.0,0.011731921391686604,1,1
PDE,burgers,tv_diff,TV,2,0.01,4,u_t,9,0.007,2,14.500629015874953,-11953.400424242365,-11950.06821973219,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9849644696297799, 0.0, 0.04686525448523162, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.01533967206652086,1,1
PDE,burgers,pod_tv_diff,POD+TV,2,0.01,4,u_t,10,0.01,2,14.623732673523849,-11933.517308505132,-11930.185103994956,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9846039911184438, 0.0, 0.048519512143069966, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.015447729700290673,1,1
PDE,burgers,baseline,Raw FD,3,0.01,4,u_t,14,0.03,2,67.3085784624405,-8342.855418642263,-8339.523214132087,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9548105452061548, 0.0, 0.03879152113780099, 0.0]",2352,8,13.718936147626664,elbow_ebic,2,4;6,1.0,0.046500656397043996,1,1
PDE,burgers,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,u_t,9,0.007,2,141.53346749434857,-17806.250528139957,-17802.918323629783,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9814573529118524, 0.0, 0.04797965080058858, 0.0]",5000,8,0.0,elbow_ebic,2,4;6,1.0,0.018629115975217516,1,1
PDE,burgers,tv_diff,TV,3,0.01,4,u_t,10,0.01,2,14.596897026103672,-11937.837370127756,-11934.50516561758,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9834748008969166, 0.0, 0.04650091121796606, 0.0]",2352,8,1.2917062410397193,elbow_ebic,2,4;6,1.0,0.01687051546252144,1,1
PDE,burgers,pod_tv_diff,POD+TV,3,0.01,4,u_t,10,0.01,2,15.306072183858925,-11826.256959542497,-11822.924755032322,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9825955820362213, 0.0, 0.04803306274746607, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.0174933576795892,1,1
PDE,burgers,baseline,Raw FD,4,0.01,4,u_t,14,0.03,2,68.81557040865519,-8290.776637605151,-8287.444433094975,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9552980567189149, 0.0, 0.038598620116502225, 0.0]",2352,8,13.037563975667581,elbow_ebic,2,4;6,1.0,0.04607545796610397,1,1
PDE,burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,u_t,7,0.003,2,116.97626466372874,-18759.076330220036,-18755.74412570986,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9820860389269682, 0.0, 0.04790792870751141, 0.0]",5000,8,0.0,elbow_ebic,2,4;6,1.0,0.01801320556375925,1,1
PDE,burgers,tv_diff,TV,4,0.01,4,u_t,10,0.01,2,14.653648220202461,-11928.71077266568,-11925.378568155504,4;6,"[0.0, 0.0, 0.0, 0.0, -0.984869139449369, 0.0, 0.04617428665453984, 0.0]",2352,8,2.8614952311763773,elbow_ebic,2,4;6,1.0,0.015587546138431402,1,1
PDE,burgers,pod_tv_diff,POD+TV,4,0.01,4,u_t,10,0.01,2,14.747287108562057,-11913.728976499588,-11910.396771989412,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9842984951594471, 0.0, 0.04782610350301061, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.015831503056090122,1,1
PDE,fisher_kpp,baseline,Raw FD,0,0.01,4,u_t,11,0.013,5,3.9585765549519776,-14983.730656914644,-14979.705305223908,0;1;2;4;5,"[0.017629665195641894, 0.9394811176805153, -0.9632181327902261, 0.0, -0.01382813354301951, 0.02857363078308936, 0.0, 0.0]",2352,8,0.0,elbow_ebic,3,1;2;6,0.5,0.06012762186856796,0,0
PDE,fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,u_t,12,0.015,3,2.258960912083544,-38485.8897067988,-38481.86435510807,1;2;6,"[0.0, 1.0083041518148435, -1.0152259914768926, 0.0, 0.0, 0.0, 0.023492736559853823, 0.0]",5000,8,2.7618454320181627,elbow_ebic,3,1;2;6,1.0,0.013095416953025619,1,1
PDE,fisher_kpp,tv_diff,TV,0,0.01,4,u_t,11,0.013,3,0.19296424367974302,-22104.96593253134,-22100.940580840605,1;2;6,"[0.0, 1.0036186548671853, -1.0067686953072363, 0.0, 0.0, 0.0, 0.020389397091171803, 0.0]",2352,8,263.7128098690773,elbow_ebic,3,1;2;6,1.0,0.008694985479744637,1,1
PDE,fisher_kpp,pod_tv_diff,POD+TV,0,0.01,4,u_t,11,0.013,3,0.09466414854633905,-23779.98872955169,-23775.963377860953,1;2;6,"[0.0, 1.0047305117755547, -1.0099483097174884, 0.0, 0.0, 0.0, 0.02365425922466898, 0.0]",2352,8,54.474008987337584,elbow_ebic,3,1;2;6,1.0,0.008987278226151444,1,1
PDE,fisher_kpp,baseline,Raw FD,1,0.01,4,u_t,14,0.03,2,3.922423045435499,-15028.599128326608,-15025.266923816433,1;2,"[0.0, 1.022999829875097, -1.046909142575312, 0.0, 0.0, 0.0, 0.0, 0.0]",2352,8,2.2696406954601116,elbow_ebic,3,1;2;6,0.8,0.042590065209771925,0,0
PDE,fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,u_t,10,0.01,3,2.1746987538610223,-38675.96362262623,-38671.9382709355,1;2;6,"[0.0, 1.003606108501153, -1.0085683455990668, 0.0, 0.0, 0.0, 0.024648845917988393, 0.0]",5000,8,0.0,elbow_ebic,3,1;2;6,1.0,0.007582996214825981,1,1
PDE,fisher_kpp,tv_diff,TV,1,0.01,4,u_t,10,0.01,3,0.3673932290162129,-20590.447659160032,-20586.422307469296,1;2;6,"[0.0, 1.0107413101050766, -1.0212969956773095, 0.0, 0.0, 0.0, 0.01717355399570471, 0.0]",2352,8,47.16801111444147,elbow_ebic,3,1;2;6,1.0,0.019145829549064367,1,1
PDE,fisher_kpp,pod_tv_diff,POD+TV,1,0.01,4,u_t,10,0.01,3,0.0774042719329196,-24253.43075289617,-24249.405401205433,1;2;6,"[0.0, 1.0046800363473203, -1.0090122304306417, 0.0, 0.0, 0.0, 0.025241763074259523, 0.0]",2352,8,0.0,elbow_ebic,3,1;2;6,1.0,0.007928029008181804,1,1
PDE,fisher_kpp,baseline,Raw FD,2,0.01,4,u_t,8,0.005,3,3.9348332316378283,-15013.406342430357,-15009.38099073962,0;1;2,"[0.017602011724640404, 0.9372469756950305, -0.9593313240361719, 0.0, 0.0, 0.0, 0.0, 0.0]",2352,8,3.439490001179365,elbow_ebic,3,1;2;6,0.6666666666666666,0.058303750677878886,0,1
PDE,fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,u_t,11,0.013,3,2.9643465397955975,-37127.131293206985,-37123.10594151625,1;2;6,"[0.0, 1.0056848203366358, -1.0123560308551944, 0.0, 0.0, 0.0, 0.02310074622509274, 0.0]",5000,8,0.0,elbow_ebic,3,1;2;6,1.0,0.010781552896274884,1,1
PDE,fisher_kpp,tv_diff,TV,2,0.01,4,u_t,7,0.003,5,0.173878266304555,-22334.399444306608,-22330.37409261587,0;1;2;6;7,"[0.014210189919733099, 0.9391492739989378, -0.943824654217187, 0.0, 0.0, 0.0, 0.011822868917810822, 0.010471880181797691]",2352,8,0.0,elbow_ebic,3,1;2;6,0.75,0.06122542159155256,0,0
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,u_t,8,0.005,3,0.07674992867317082,-24273.398091887593,-24269.372740196857,1;2;6,"[0.0, 1.0023250166685875, -1.0053543558100149, 0.0, 0.0, 0.0, 0.025481473557323258, 0.0]",2352,8,11.051648236007168,elbow_ebic,3,1;2;6,1.0,0.005218591741688028,1,1
PDE,fisher_kpp,baseline,Raw FD,3,0.01,4,u_t,8,0.005,3,4.034217098405276,-14954.738630561367,-14950.713278870631,0;1;2,"[0.01894913003704093, 0.9309945780518778, -0.9536432939605063, 0.0, 0.0, 0.0, 0.0, 0.0]",2352,8,0.0,elbow_ebic,3,1;2;6,0.6666666666666666,0.06389869812043031,0,1
PDE,fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,u_t,8,0.005,3,2.6830155277550674,-37625.70758307345,-37621.682231382714,1;2;6,"[0.0, 1.0010954707561368, -1.004900150802284, 0.0, 0.0, 0.0, 0.02251504467394581, 0.0]",5000,8,3.1755833379065734,elbow_ebic,3,1;2;6,1.0,0.006371795292457901,1,1
PDE,fisher_kpp,tv_diff,TV,3,0.01,4,u_t,10,0.01,4,0.1775973787208079,-22292.385594763018,-22288.13709952097,0;1;2;7,"[0.01942636075526361, 0.9203461189394515, -0.9267722253319403, 0.0, 0.0, 0.0, 0.0, 0.030706684105936164]",2352,8,38.69969196684542,elbow_ebic,3,1;2;6,0.5714285714285714,0.08342981245206754,0,0
PDE,fisher_kpp,pod_tv_diff,POD+TV,3,0.01,4,u_t,9,0.007,3,0.0953208162961168,-23763.729667163654,-23759.704315472918,1;2;6,"[0.0, 1.0024226663386102, -1.0060784342612115, 0.0, 0.0, 0.0, 0.023364260099781344, 0.0]",2352,8,98.49054616177091,elbow_ebic,3,1;2;6,1.0,0.006588271946608611,1,1
PDE,fisher_kpp,baseline,Raw FD,4,0.01,4,u_t,8,0.005,3,4.096452055363491,-14918.73188258399,-14914.706530893254,0;1;2,"[0.018329329362062417, 0.9362927434696872, -0.9600358607416004, 0.0, 0.0, 0.0, 0.0, 0.0]",2352,8,0.0,elbow_ebic,3,1;2;6,0.6666666666666666,0.05868820750805202,0,1
PDE,fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,4,u_t,12,0.015,3,2.3147666550975696,-38363.86994988819,-38359.84459819746,1;2;6,"[0.0, 1.0068187824412484, -1.0137117237163473, 0.0, 0.0, 0.0, 0.02364410835296198, 0.0]",5000,8,0.0,elbow_ebic,3,1;2;6,1.0,0.011721366569060662,1,1
PDE,fisher_kpp,tv_diff,TV,4,0.01,4,u_t,10,0.01,4,0.18070039898762785,-22251.64581575388,-22247.39732051183,0;1;2;7,"[0.01853993874898485, 0.9261284734921875, -0.93388067558878, 0.0, 0.0, 0.0, 0.0, 0.03046702123117917]",2352,8,34.70599415695324,elbow_ebic,3,1;2;6,0.5714285714285714,0.07744461988567546,0,0
PDE,fisher_kpp,pod_tv_diff,POD+TV,4,0.01,4,u_t,8,0.005,3,0.1341705047844489,-22959.667423275318,-22955.64207158458,1;2;6,"[0.0, 1.0063209613476694, -1.012749591661395, 0.0, 0.0, 0.0, 0.023400033357778887, 0.0]",2352,8,18.214265430586238,elbow_ebic,3,1;2;6,1.0,0.011089533795107517,1,1
