setting,system,method,method_label,seed,noise,sparse_factor,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,100.0,0.0021096653935280063,"[0.006663828159319575, 0.24728290538927433]","[0.006663828158553695, 0.24728290538927417]","[7.658804146437603e-13, 1.6653345369377348e-16]","[7.658804146437603e-13, 1.6653345369377348e-16]",7.658804146437603e-13,4.773959005888173e-15,"[7.734485259174805e-13, 1.1827289131128852e-16]",8.881784197001252e-16,4.773959005888173e-15,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.0004137739997531753,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,0,1000.0,0.0021096653935280063,"[0.006663828166278559, 0.24728290538927541]","[0.006663828158553695, 0.24728290538927417]","[7.724864151126276e-12, 1.2490009027033011e-15]","[7.724864151126276e-12, 1.2490009027033011e-15]",7.724864151126276e-12,4.773959005888173e-15,"[7.732431731926422e-12, 1.181495104598579e-15]",8.881784197001252e-16,4.773959005888173e-15,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.0003876250002576853,34,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,0.0,0.00011688431488056654,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0004833990001316124,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,0.0001,0.0001171402588235659,"[1.725492991633678e-05, 1.750199649977503e-05]","[1.699364787987115e-05, 1.7376024802111514e-05]","[2.612820364656301e-07, 1.2597169766351762e-07]","[2.612820364656301e-07, 1.2597169766351762e-07]",2.612820364656301e-07,3.7047685419372206e-06,"[2.6113336338920987e-07, 1.2595713839474223e-07]",0.00010049625134415691,1.3552527156068805e-20,0.0,0.9876705391796758,True,25,0.01,1e-05,banded ADMM with dual certificate,0.0018618980002429453,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,0.001,0.00011568759020989323,"[0.00010892126520928106, 0.00011928448029181868]","[0.0001075930211871471, 0.00011792545637367719]","[1.3282440221339592e-06, 1.3590239181414865e-06]","[1.3282440221339592e-06, 1.3590239181414865e-06]",1.3590239181414865e-06,1.180410088403314e-05,"[1.32824273143376e-06, 1.3584036780620701e-06]",0.0003472294879295349,4.336808689942018e-19,0.0,0.9960655002287295,True,50,0.02,1e-05,banded ADMM with dual certificate,0.0033175529997606645,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,0.01,0.00011558723732202617,"[0.00037208610186176977, 0.0006389410577164904]","[0.0003686280664823905, 0.0006385405458126175]","[3.4580353793792424e-06, 4.005119038729245e-07]","[3.4580353793792424e-06, 4.005119038729245e-07]",3.4580353793792424e-06,1.5869069883642228e-06,"[3.4580320113446314e-06, 4.005074315597797e-07]",3.7691868497669034e-05,3.469446951953614e-18,0.0,0.9998046464031493,True,100,0.40800000000000003,1e-05,banded ADMM with dual certificate,0.006003403999784496,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,0.1,0.0001176077802081894,"[0.001955866160900842, 0.004832281769208966]","[0.0019459926887964475, 0.004832281769104236]","[9.873472104394293e-06, 1.0473046041514777e-13]","[9.873472104394293e-06, 1.0473046041514777e-13]",9.873472104394293e-06,7.647399123678067e-08,"[9.873472084559248e-06, 1.0473392986209973e-13]",1.1362489730826209e-05,2.7755575615628914e-17,0.0,0.9999935159839101,True,375,1.02,1e-05,banded ADMM with dual certificate,0.020860280999841052,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,1.0,0.00017355712710849646,"[0.006987334164327716, 0.03940328593984563]","[0.006977395870813113, 0.03940328593984465]","[9.938293514602514e-06, 9.783840404509192e-16]","[9.938293514602514e-06, 9.783840404509192e-16]",9.938293514602514e-06,2.200945571628754e-09,"[9.938293514950652e-06, 1.061650767297806e-15]",3.922558022839695e-07,2.220446049250313e-16,0.0,0.9999999520657442,True,1725,5.1,1e-05,banded ADMM with dual certificate,0.07066404699980922,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,10.0,0.000784437976089112,"[0.007010476519542002, 0.23126972210370378]","[0.0070097809277949175, 0.23126972209790136]","[6.95591747084702e-07, 5.802414104749687e-12]","[6.95591747084702e-07, 5.802414104749687e-12]",6.95591747084702e-07,7.292333403796647e-12,"[6.955917473849728e-07, 5.802108793417915e-12]",2.6478236270222055e-09,1.7763568394002505e-15,0.0,0.9999999999598082,True,325,816.0,1e-05,banded ADMM with dual certificate,0.010244091000004119,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,100.0,0.0017205160240439138,"[0.007009780929288637, 0.264468249696858]","[0.0070097809285120105, 0.26446824969685795]","[7.766261592156987e-13, 5.551115123125783e-17]","[7.766261592156987e-13, 5.551115123125783e-17]",7.766261592156987e-13,1.2753686995381486e-14,"[7.771810327968471e-13, 1.2462748471688835e-16]",8.881784197001252e-16,1.7763568394002505e-15,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.00025758900028449716,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,1,1000.0,0.0017205160240439138,"[0.007009780936276797, 0.2644682496968591]","[0.0070097809285120105, 0.26446824969685795]","[7.764786209840668e-12, 1.1657341758564144e-15]","[7.764786209840668e-12, 1.1657341758564144e-15]",7.764786209840668e-12,1.2753686995381486e-14,"[7.765341083421817e-12, 1.2425839201504766e-15]",8.881784197001252e-16,1.7763568394002505e-15,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.00021147899997231434,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,2,0.0,0.00012151283501421684,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0002949849999822618,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,2,0.0001,0.00012340160824334857,"[2.0400371930722983e-05, 1.977351650182304e-05]","[2.018378410159941e-05, 1.9593134020244633e-05]","[2.1658782912357234e-07, 1.803824815784069e-07]","[2.1658782912357234e-07, 1.803824815784069e-07]",2.1658782912357234e-07,2.629304323294732e-06,"[2.165009071549024e-07, 1.8033173871809455e-07]",9.983332762075303e-05,1.3552527156068805e-20,0.0,0.9912624052723568,True,25,0.01,1e-05,banded ADMM with dual certificate,0.0010592580001684837,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,2,0.001,0.00012069878577218579,"[0.00013088583286779184, 0.00014445895940662552]","[0.00012452098770341594, 0.00013624425656627532]","[6.364845164375898e-06, 8.214702840350196e-06]","[6.364845164375898e-06, 8.214702840350196e-06]",8.214702840350196e-06,7.788826521454035e-06,"[6.3645917728358346e-06, 8.214417886171467e-06]",0.0007951195296792945,2.168404344971009e-19,0.0,0.9974020190288156,True,25,0.01,1e-05,banded ADMM with dual certificate,0.0010389469998699497,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,2,0.01,0.00011958214430149955,"[0.00038316177374892607, 0.0006629191560632141]","[0.0003767867284553122, 0.0006625458382282267]","[6.37504529361389e-06, 3.7331783498740535e-07]","[6.37504529361389e-06, 3.7331783498740535e-07]",6.37504529361389e-06,2.0425034885380305e-06,"[6.375030482595566e-06, 3.73316698160011e-07]",0.00012462434419827084,1.734723475976807e-18,0.0,0.9996814331785421,True,100,0.40800000000000003,1e-05,banded ADMM with dual certificate,0.0032397859999946377,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,2,0.1,0.00012013616684060256,"[0.0020148944726204277, 0.004908870109770531]","[0.0020081186391232297, 0.004908870109130125]","[6.775833497198007e-06, 6.404061309028819e-13]","[6.775833497198007e-06, 6.404061309028819e-13]",6.775833497198007e-06,6.09388736472205e-07,"[6.775832357139256e-06, 6.404174066054757e-13]",9.78598472974046e-06,2.7755575615628914e-17,0.0,0.9999504497226577,True,200,2.04,1e-05,banded ADMM with dual certificate,0.0061677620001319156,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,2,1.0,0.00016940897634888302,"[0.006974436332255253, 0.03973886398415294]","[0.006965155045366642, 0.03973885194231455]","[9.281286888611698e-06, 1.2041838387544246e-08]","[9.281286888611698e-06, 1.2041838387544246e-08]",9.281286888611698e-06,1.979289764031389e-08,"[9.281286887587669e-06, 1.2041837797738264e-08]",9.271379873831975e-07,2.220446049250313e-16,0.0,0.9999996286286115,True,850,10.2,1e-05,banded ADMM with dual certificate,0.02832477900028607,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
PDE,fisher_kpp,pod_tv_diff,POD+TV,2,0.01,4,2,10.0,0.0008155468679703297,"[0.007013391634350745, 0.23032024723499342]","[0.0070131169311037495, 0.23032024719852784]","[2.7470324699511994e-07, 3.646558055514504e-11]","[2.7470324699511994e-07, 3.646558055514504e-11]",2.7470324699511994e-07,3.998976150221267e-11,"[2.7470324655230224e-07, 3.646538626611573e-11]",4.174898649011993e-09,1.7763568394002505e-15,0.0,0.999999999790855,True,500,816.0,1e-05,banded ADMM with dual certificate,0.01559716399970057,35,51,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
