setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,support_f1_mean,support_f1_median,coef_error_median,coef_error_mean,practical_score_mean,practical_score_median,n_ok
PDE,fisher_kpp,Fisher--KPP,baseline,Baseline,1,0,8,0.03,0.8,0.8,0.0452152414108153,0.0442849836032891,0.7660801326759702,0.765392589300719,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0.8,0.8,0.105509165367288,0.10326847454100337,0.7251308967848974,0.7236484554465116,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0.8,0.8,0.041141069111756134,0.04084708925719868,0.7686083639089258,0.7683877081926234,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0.8,0.8,0.03960540990038984,0.04157237726489805,0.7680817018161967,0.7695227365896955,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,0.8,0.8,0.03907905391734407,0.03849732188429007,0.7703597452159512,0.7699125460993441,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,0.8,0.8,0.04365134512609462,0.043448348304470974,0.7667053781462556,0.7665395189073833,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,0.8,0.8,0.04078773838675335,0.041705288350420755,0.7679838305744869,0.7686485634813681,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,0.8,0.8,0.04385459866601672,0.042987084358954986,0.7670377669244225,0.766390262611624,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,0.8,0.8,0.1065785053996503,0.10851308079146058,0.7217091699721057,0.7229491591390284,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,0.8,0.8,0.042622200911527144,0.0439967656960585,0.7663089808750669,0.7672961493632006,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,0.8,0.8,0.03819094851693691,0.03901205309266985,0.7699895247676899,0.7705711566285621,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,0.8,0.8,0.04568641654690191,0.046096446183857984,0.7647771983673566,0.765047711570917,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,0.8,0.8,0.0367227924227653,0.03963987739758286,0.7695437827588061,0.7716624017983083,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,0.8,0.8,0.04725728875642207,0.043295926920379486,0.7668839905134546,0.7639001500290052,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,0.8,0.8,0.04018855202419309,0.039017981658548376,0.7699707297790438,0.7690913329542136,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,0.8,0.8,0.10880967203723624,0.10583715341073115,0.7234629761952271,0.7214944279212008,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,0.8,0.8,0.03723315668884979,0.03782609067068017,0.7708458276272626,0.7712827100069121,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,0.8,0.8,0.045454382543461784,0.04368739809210648,0.7665210877458375,0.7652175105466569,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,0.8,0.8,0.053057970253745264,0.05030788434151805,0.7617611858210604,0.7596922701294704,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,0.8,0.8,0.03806680955228454,0.041681302798404936,0.7680103747086293,0.7706633066758372,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,0.8,0.8,0.042414689558394794,0.04163539329945306,0.768033012904138,0.7674488934331014,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,0.8,0.8,0.04125356028574302,0.04287697799672217,0.7671401051807892,0.7683046959094788,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,1,8,0.03,0.8,0.8,0.10417586457955301,0.10578603871267944,0.7234823618457433,0.724522266482091,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,2,8,0.03,0.8,0.8,0.044670736474794186,0.04228851018256259,0.7675640050712568,0.7657915284384942,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,4,8,0.03,0.8,0.8,0.04635380013252924,0.04138679453921297,0.7682716278479644,0.7645597501520743,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,6,8,0.03,0.8,0.8,0.040984722263536465,0.041654299151775306,0.7680617565872385,0.7685031133410539,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,8,8,0.03,0.8,0.8,0.03999619862393062,0.042747353871673305,0.7672190004916531,0.7692335809097368,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,10,8,0.03,0.8,0.8,0.040610824152121985,0.03727418548045198,0.7712851764625434,0.7687792414150901,5
PDE,fisher_kpp,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,7,12,8,0.03,0.8,0.8,0.0375838326497541,0.03896267330640507,0.770008648796276,0.7710220367996494,5
