system,method,noise,mean,sd,n,median,maximum,axis,axis_value,sparse_factor
lorenz63,baseline,0.0,0.5993710107858353,0.38849235455714515,40,0.6357999878886628,1.0275093730742937,noise,0.0,
lorenz63,baseline,0.01,0.7047494382987483,0.5300126141867776,40,0.6390461011141075,2.134592614758955,noise,0.01,
lorenz63,baseline,0.03,0.6924954717053542,0.44842622194506226,40,0.9491892961896905,1.194405085549454,noise,0.03,
lorenz63,baseline,0.05,0.7785670518618447,0.4649647028714698,40,0.9683027895669872,1.994445633279632,noise,0.05,
lorenz63,baseline,0.1,0.8714587028348019,0.43861557244911054,40,1.0255579606371454,1.9391614666181995,noise,0.1,
lorenz63,edmd_poly3,0.0,0.9525210782920842,1.1253443918768775,40,0.5411075404344801,2.72372841969358,noise,0.0,
lorenz63,edmd_poly3,0.01,0.6487274298266474,0.6254294206711183,40,0.9192797553935603,1.707741738699014,noise,0.01,
lorenz63,edmd_poly3,0.03,0.5978504632561784,0.637326010465476,40,0.21705044553691827,1.897706857560176,noise,0.03,
lorenz63,edmd_poly3,0.05,0.655162064720565,0.6775234055262885,40,0.37834924047038254,2.499628437476546,noise,0.05,
lorenz63,edmd_poly3,0.1,0.8244083937634665,0.7480398551996047,40,0.853701558166195,3.987278514195898,noise,0.1,
lorenz63,edmd_rbf,0.0,0.7045719244145483,0.7362764894086817,40,0.514400708827601,2.497049045718036,noise,0.0,
lorenz63,edmd_rbf,0.01,0.6791678811991685,0.7258755529759695,40,0.47339838652810107,2.3805313169596487,noise,0.01,
lorenz63,edmd_rbf,0.03,0.8231207050697066,0.8674560437497768,40,0.6367928340011781,3.2311180716294507,noise,0.03,
lorenz63,edmd_rbf,0.05,0.7609065967674233,0.6140131820672434,40,0.9835586237249588,1.9208824768110515,noise,0.05,
lorenz63,edmd_rbf,0.1,0.8334339149059726,0.5395954314856729,40,0.8642903794855032,1.99433328763768,noise,0.1,
vanderpol_mu2,baseline,0.0,0.2143390498282106,0.29529015937395436,40,0.06747786376837685,0.7152533904965458,noise,0.0,
vanderpol_mu2,baseline,0.01,0.21212914860896995,0.28968337068925953,40,0.06709454703050795,0.7893140044609392,noise,0.01,
vanderpol_mu2,baseline,0.03,0.20107901102211692,0.2601995869335424,40,0.07183039747376685,0.8159493937654624,noise,0.03,
vanderpol_mu2,baseline,0.05,0.1477530912970359,0.16238232298495214,40,0.07592837685277534,0.602984493399687,noise,0.05,
vanderpol_mu2,baseline,0.1,0.20863751477686932,0.1371109126909636,40,0.16438258107061282,0.5296730528595471,noise,0.1,
vanderpol_mu2,edmd_poly3,0.0,0.0086917869232003,0.012344796154063017,40,0.0024291038017197498,0.029670165286031,noise,0.0,
vanderpol_mu2,edmd_poly3,0.01,0.010091803220236157,0.012097754931425772,40,0.0038427820475402,0.0383843730652695,noise,0.01,
vanderpol_mu2,edmd_poly3,0.03,0.016301953768819308,0.013659581336606512,40,0.01275415846702965,0.0722986119614468,noise,0.03,
vanderpol_mu2,edmd_poly3,0.05,0.02583282855152073,0.016141720394378906,40,0.02201135281057595,0.0707119875652229,noise,0.05,
vanderpol_mu2,edmd_poly3,0.1,0.05750595721560965,0.05256061921901187,40,0.04384613545013915,0.3168562321032815,noise,0.1,
vanderpol_mu2,edmd_rbf,0.0,0.0031895253602252523,0.002581417972565555,40,0.0031406736677382,0.0069893168129658,noise,0.0,
vanderpol_mu2,edmd_rbf,0.01,0.015093030952708256,0.055676498457455106,40,0.0044024357402547,0.3564521689031275,noise,0.01,
vanderpol_mu2,edmd_rbf,0.03,0.05804504561867925,0.1143561075905048,40,0.0160220428423803,0.4115846636524375,noise,0.03,
vanderpol_mu2,edmd_rbf,0.05,0.027177747503846827,0.018114175882298716,40,0.0223776689788295,0.0822057504244072,noise,0.05,
vanderpol_mu2,edmd_rbf,0.1,0.17286416268279445,0.2027007012431709,40,0.08482183325354359,0.9557891629593598,noise,0.1,
advection_diffusion,baseline,,0.22078069683056945,0.19878934318792685,20,0.1606742125545777,0.5556737326643312,sparse_factor,4.0,4.0
advection_diffusion,baseline,,0.2257780920432017,0.20752119358353557,20,0.1631825690430443,0.5791707517520495,sparse_factor,8.0,8.0
advection_diffusion,baseline,,0.23670397833172457,0.20319082994771984,20,0.17503158246590614,0.5774875952820234,sparse_factor,16.0,16.0
advection_diffusion,optdmd,,0.03527022030504338,0.016531024265158335,20,0.0298775168135625,0.0673295096445838,sparse_factor,4.0,4.0
advection_diffusion,optdmd,,0.04979638201423646,0.04273394098997787,20,0.02820079398938645,0.1290613607657946,sparse_factor,8.0,8.0
advection_diffusion,optdmd,,0.08617286260350812,0.08982930690717666,20,0.0421301394343738,0.2932008967892573,sparse_factor,16.0,16.0
advection_diffusion,pod_edmd_rbf,,0.04420532263884723,0.04340937684439475,20,0.0290561374776431,0.1232542918532778,sparse_factor,4.0,4.0
advection_diffusion,pod_edmd_rbf,,0.0755025758690312,0.07798307817607221,20,0.03866554914047695,0.2312283520429071,sparse_factor,8.0,8.0
advection_diffusion,pod_edmd_rbf,,0.13733003937978985,0.1710446125831665,20,0.0638619511992191,0.6746320628029515,sparse_factor,16.0,16.0
burgers,baseline,,0.3303252539978629,0.256745347225995,40,0.2909449914167713,0.7801438774212952,sparse_factor,4.0,4.0
burgers,baseline,,0.32565214528967634,0.24894669914815148,40,0.2936488014771782,0.7433358736179037,sparse_factor,8.0,8.0
burgers,baseline,,0.33708100596639146,0.2570092647624638,40,0.29961861457588423,0.7812432574716165,sparse_factor,16.0,16.0
