system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,0,5,0.8235294117647058,0.03163794379078335,0.7982736741328292,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,0,5,0.8235294117647058,0.033680759191627385,0.7966960828493443,0.3,ok
lorenz63,baseline,Baseline,8,0.04,0.05,1,1,0.8,0.14747583921805965,0.6971824352704062,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,1,5,0.8235294117647058,0.057389687734911043,0.7788324600827446,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,1,5,0.8235294117647058,0.05926206551236352,0.7774557765989344,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.05,2,1,0.875,0.13671647696744127,0.7697609894195827,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,2,5,0.9333333333333333,0.03270385128415226,0.9037763654824633,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,2,5,0.8,0.10329426788960654,0.7251012021754168,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.05,3,1,0.8235294117647058,0.11971958223045563,0.735478261552106,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,3,5,0.9333333333333333,0.03176063122138315,0.9046025842529647,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,3,5,0.875,0.03166578645839771,0.8481428884094186,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.05,4,1,0.625,0.3969522440855801,0.44740255269722107,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.05,4,5,0.6363636363636364,0.10948346371865729,0.5735674817817793,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.05,4,5,0.875,0.057341480605111794,0.8275472172899538,0.1,ok
lorenz63,baseline,Baseline,8,0.04,0.05,5,1,0.875,0.10363784002962062,0.7928325472933366,0.3,ok
