system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds
lorenz63,baseline,Baseline,8,0.04,0.03,8,1,,,0,0.9333333333333332,0.0972990309132144,0.8505733688259776,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,8,5,,,0,0.8571428571428571,0.096732979597087,0.7815419733778322,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,8,5,0.0003,0.0021019997540398,4,0.9333333333333332,0.0164780128515677,0.9182031697026232,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.03,9,1,,,0,0.9333333333333332,0.1171170291739833,0.8354839367397854,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.03,9,5,,,0,0.875,0.0362300925611591,0.8444070542646944,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.03,9,5,0.0003,0.0018424366398188,4,1.0,0.0124204019532415,0.9877319718870944,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,0,1,,,0,1.0,0.1046339625583347,0.9052772537284638,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,0,5,,,0,0.875,0.024252497113628,0.8542815394307305,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,0,5,0.001,0.0052446924239846,4,0.8571428571428571,0.0826660061959644,0.7916964717073723,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,1,1,,,0,0.8,0.1474758392180596,0.6971824352704062,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,1,5,,,0,0.6086956521739131,0.1789504260263675,0.5163030087919062,0.03,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,1,5,0.001,0.005074513680908,4,0.8235294117647058,0.0541524325198025,0.78122421991303,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,2,1,,,0,0.875,0.1367164769674412,0.7697609894195827,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,2,5,,,0,0.875,0.0613515736728438,0.824420504670316,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,2,5,0.001,0.0048644930347454,4,0.875,0.0438935492201566,0.8382080727040329,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,3,1,,,0,0.8235294117647058,0.1197195822304556,0.735478261552106,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,3,5,,,0,1.0,0.028231109261773,0.9725440039622592,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,3,5,0.001,0.004693841435892,4,0.875,0.0379734567156842,0.8429888012441488,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,4,1,,,0,0.625,0.3969522440855801,0.447402552697221,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,4,5,,,0,0.875,0.0645508722704521,0.82194287073742,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,4,5,0.001,0.0053482674910667,4,0.875,0.0518677971456607,0.8318535868997914,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,5,1,,,0,0.875,0.1036378400296206,0.7928325472933366,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,5,5,,,0,0.7777777777777778,0.0465766322566268,0.7431637147303151,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,5,5,0.001,0.0048509931734487,4,0.875,0.0469593180976464,0.8357535817054466,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,6,1,,,0,0.8571428571428571,0.1465428941564567,0.7475890012588503,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,6,5,,,0,0.9333333333333332,0.0563908237659134,0.8835113978045606,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,6,5,0.001,0.005331253212897,4,0.9333333333333332,0.0415091658649982,0.8961354963767196,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,7,1,,,0,0.8235294117647058,0.1250601606480169,0.7319869999577319,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,7,5,,,0,0.8235294117647058,0.0568812308386485,0.7792071499947301,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,7,5,0.001,0.0053260164380536,4,0.7058823529411765,0.5124404478044527,0.4667174525554885,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,8,1,,,0,0.75,0.1455392605918698,0.6547134836849633,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,8,5,,,0,0.8,0.1042780501695871,0.7244552220132798,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,8,5,0.001,0.0046934224399556,4,0.875,0.0430725321332494,0.8388678380883884,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.05,9,1,,,0,0.8571428571428571,0.1481119602180367,0.7465673094983507,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.05,9,5,,,0,0.5,0.2434857852650404,0.4020954689831283,0.01,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.05,9,5,0.001,0.0049581258468484,4,0.9333333333333332,0.0559940706715842,0.8838433465253817,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,0,1,,,0,0.7058823529411765,1.2671146662706718,0.3113571463512825,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,0,5,,,0,0.7368421052631579,0.271030557502233,0.5797202127942257,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,0,5,0.003,0.0212293674821863,4,0.5384615384615384,0.3005981361473249,0.4140106951533754,0.03,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,1,1,,,0,0.875,0.2338698750233198,0.7091509548229004,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,1,5,,,0,0.8,0.1464314572764009,0.6978175580601873,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,1,5,0.003,0.0211381041485054,4,0.8,0.1355520424290315,0.7045031580311719,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,2,1,,,0,0.6086956521739131,0.4080351212916468,0.4323014695936932,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,2,5,,,0,0.7,0.1742118074523691,0.596144575925153,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,2,5,0.003,0.0207777217086263,4,0.6666666666666666,0.2527118271746436,0.5321787918058228,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,3,1,,,0,0.9333333333333332,0.2146529413037033,0.7683950712139833,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,3,5,,,0,0.7368421052631579,0.3478030577023204,0.5466986449187139,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,3,5,0.003,0.0172110215754158,4,0.7,0.2552448921095397,0.5576601063268171,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,4,1,,,0,0.8235294117647058,0.2215484753718515,0.6741684250508481,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,4,5,,,0,0.625,0.8604063601755839,0.3359481097135214,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,4,5,0.003,0.0203738620448825,4,0.6,0.3609194010639034,0.4408784234620712,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,5,1,,,0,0.8,0.1625388595811441,0.688149039842191,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,5,5,,,0,0.8,0.1221055170625772,0.7129454296724449,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,5,5,0.003,0.0185800505466477,4,0.9333333333333332,0.0887550974143986,0.8572481869888237,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,6,1,,,0,0.7368421052631579,0.1973513674978164,0.6153933801428607,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,6,5,,,0,0.875,0.1014203271067023,0.7944287738891825,0.3,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,6,5,0.003,0.0193936212594501,4,0.8235294117647058,0.0832722134604829,0.7602238860479621,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,7,1,,,0,0.6666666666666666,0.5372027562073239,0.4336881806740351,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,7,5,,,0,0.7368421052631579,0.1298182783556245,0.6521775398567481,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,7,5,0.003,0.0190276363850589,4,0.6666666666666666,0.1503903371618541,0.5795134443769845,0.1,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,8,1,,,0,0.8,0.1765601785342936,0.6799482207502591,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,8,5,,,0,0.6,0.6157488497982787,0.3713448411706486,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,8,5,0.003,0.016847306176035,4,0.875,0.0951255235982855,0.7989951664399048,0.3,ok,,,
lorenz63,baseline,Baseline,8,0.04,0.1,9,1,,,0,0.56,0.4301084453633739,0.3915786958783468,0.1,ok,,,
lorenz63,linear_interp,Linear interpolation,8,0.04,0.1,9,5,,,0,0.5833333333333334,0.3980854797512571,0.4172372446333669,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.1,9,5,0.003,0.0214824456946215,4,0.56,0.3346476902320185,0.4195863853049101,0.1,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,0,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,0,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,0,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,1,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,1,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,1,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,2,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,2,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,2,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,3,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,3,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,3,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,4,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,4,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,4,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,5,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,5,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,5,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,6,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,6,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,6,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,7,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,7,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,7,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
lorenz63,baseline,Baseline,16,0.08,0.0,8,1,,,0,0.9333333333333332,0.36042869300369,0.6860582536469639,0.3,ok,,,
lorenz63,linear_interp,Linear interpolation,16,0.08,0.0,8,5,,,0,0.8235294117647058,0.3259445217043549,0.62108889043574,0.1,ok,,,
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.08,0.0,8,5,0.0,0.0160070371748731,4,1.0,0.0300683155418973,0.9708093967281392,0.3,ok,,,
