system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,2,5,,,0,,,0,0.875,0.020873344553435105,0.8571092630327761,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,2,5,,,0,,,0,0.875,0.03517584627591512,0.8452670173360847,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,3,5,,,0,,,0,0.9333333333333333,0.013266082231479258,0.921113762416568,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,3,5,,,0,,,0,0.75,1.3178660530929052,0.32357348648305967,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,4,5,,,0,,,0,0.875,0.007379876577257418,0.8685899136410781,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,4,5,,,0,,,0,0.9333333333333333,0.04775537781233611,0.890793168995314,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,5,5,,,0,,,0,0.875,0.028976801564606445,0.8503593070995599,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,5,5,,,0,,,0,0.875,0.047322902499373334,0.8354634448572307,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,6,5,,,0,,,0,0.875,0.07625005859062862,0.8130080858214589,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,6,5,,,0,,,0,0.7368421052631579,0.12261321157988418,0.6563632938420347,0.1,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,7,5,,,0,,,0,0.7368421052631579,0.038503433093051875,0.7095230326476306,0.1,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,7,5,,,0,,,0,0.875,0.050269677759340006,0.8331193583220808,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,8,5,,,0,,,0,0.9333333333333333,0.033029616011676866,0.9034913606221174,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,8,5,,,0,,,0,0.875,0.036915817528215086,0.8438486376703291,0.3,ok
lorenz63,edmd_poly3,EDMD-polynomial,16,0.08,0.03,9,5,,,0,,,0,0.875,0.07438174056106214,0.8144218828058812,0.3,ok
lorenz63,edmd_rbf,EDMD-RBF,16,0.08,0.03,9,5,,,0,,,0,0.875,0.02112555186131523,0.8568975660290192,0.1,ok
