system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,edmd_poly3,16,0.1,0,1,0,-1.6443732937780486,0.0
lorenz63,edmd_poly3,16,0.1,0,1,1,1.7904871888866551,0.0
lorenz63,edmd_poly3,16,0.1,0,1,2,-1.6576747021627807,0.0
lorenz63,edmd_poly3,16,0.1,0,x,0,-9.533827516384822,-10.0
lorenz63,edmd_poly3,16,0.1,0,x,1,26.949449804487216,28.0
lorenz63,edmd_poly3,16,0.1,0,x,2,-0.522254530795071,0.0
lorenz63,edmd_poly3,16,0.1,0,y,0,9.825992608278622,10.0
lorenz63,edmd_poly3,16,0.1,0,y,1,-0.8743567074764734,-1.0
lorenz63,edmd_poly3,16,0.1,0,y,2,0.40806578713384173,0.0
lorenz63,edmd_poly3,16,0.1,0,z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,z,2,-2.4898807354796784,-2.6666666666666665
lorenz63,edmd_poly3,16,0.1,0,x*x,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x,2,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*y,2,0.956045227205449,1.0
lorenz63,edmd_poly3,16,0.1,0,x*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*z,1,-0.9745480990491397,-1.0
lorenz63,edmd_poly3,16,0.1,0,x*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,y*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,y*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,y*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,y*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,y*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,y*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*x,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*x,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*x,2,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.1,0,x*x*z,2,0.0,0.0
