system,method,method_label,sparse_factor,obs_dt,noise,n_planned,support_f1_mean,support_f1_se,coef_error_median,coef_error_mean,coef_error_se,practical_score_mean,practical_score_se,exact_support_rate,state_error_median,weak_truth_residual_median,n_ok
vanderpol_mu2,edmd_weak,EDMD + weak,64,0.32,0.1,5,0.8642857142857142,0.03976974544878586,0.4534516398460047,0.38615860200220736,0.09181494925621903,0.6450215407413289,0.08264381427635266,0.2,0.0976757648197875,0.17829806497629,5
vanderpol_mu2,edmd_weak,EDMD + weak,64,0.32,0.2,5,0.5890909090909091,0.10544670817272016,0.9487701482333478,0.9257280268409076,0.21714552686070906,0.3567140577728344,0.1261599323953843,0.2,0.1903279599563422,0.3884399637577955,5
vanderpol_mu2,linear_weak,Linear q5 + weak,16,0.08,0.05,5,1.0,0.0,0.0207606292912461,0.02175296595351478,0.0042092895491523214,0.9787762170309181,0.00400927920784976,1.0,0.0405938939803645,0.0573014453481303,5
vanderpol_mu2,linear_weak,Linear q5 + weak,16,0.08,0.1,5,0.9492063492063492,0.03150703689091938,0.0463067543036627,0.12392855345226486,0.08561300213551733,0.8661906157404269,0.07403090393083614,0.6,0.0847496461927139,0.1145631882237881,5
vanderpol_mu2,linear_weak,Linear q5 + weak,16,0.08,0.2,5,0.9111111111111111,0.06478835438717001,0.1688761690892723,0.2556244139865179,0.08939937670221386,0.749369805308978,0.08580947352791735,0.6,0.1674591599121154,0.2820032068018939,5
vanderpol_mu2,linear_weak,Linear q5 + weak,64,0.32,0.05,5,0.8933333333333333,0.06863753427324666,0.1377124640663216,0.3297934451620262,0.14041270120731134,0.7184842213482943,0.11162764574909712,0.6,0.0718711676191922,0.1432558384879256,5
vanderpol_mu2,linear_weak,Linear q5 + weak,64,0.32,0.1,5,0.9333333333333332,0.06666666666666668,0.1319655763539266,0.23608637252160897,0.07988973938070729,0.77763047106297,0.08813446267885243,0.8,0.098824489546668,0.2290938200649927,5
vanderpol_mu2,linear_weak,Linear q5 + weak,64,0.32,0.2,5,0.8076190476190476,0.08652526402844862,0.8013804181202306,0.6907920426262869,0.15315369328486877,0.5138592376712199,0.10020443675082615,0.4,0.1646269206586273,0.4605581910671308,5
vanderpol_mu2,raw_weak,Raw + weak,16,0.08,0.05,5,1.0,0.0,0.018356077086565,0.01954622130154432,0.0031356313735858804,0.9808654115038935,0.002999758379937031,1.0,0.0492889809821718,0.0594698728827021,5
vanderpol_mu2,raw_weak,Raw + weak,16,0.08,0.1,5,0.9314285714285715,0.04295227536677972,0.0451023786349197,0.1285408103021962,0.08506322282596869,0.8468153521785787,0.08007155062722462,0.6,0.102561414705656,0.1229108044991163,5
vanderpol_mu2,raw_weak,Raw + weak,16,0.08,0.2,5,0.8547619047619047,0.066538993392772,0.5162124868181691,0.4083679334202174,0.10038077234197526,0.633446425246638,0.09479092084133191,0.4,0.2029992991624351,0.2893309800466047,5
vanderpol_mu2,raw_weak,Raw + weak,64,0.32,0.05,5,0.9714285714285715,0.028571428571428564,0.0507126905494527,0.09480620066659794,0.05664648985016482,0.9003728574386596,0.06316288693563493,0.8,0.0512742588678734,0.1374761167352041,5
vanderpol_mu2,raw_weak,Raw + weak,64,0.32,0.1,5,1.0,0.0,0.0967553796944788,0.11889563800916683,0.036847141853602494,0.8973425714599863,0.027386708690678302,1.0,0.0971428589766488,0.2410814280757341,5
vanderpol_mu2,raw_weak,Raw + weak,64,0.32,0.2,5,0.8814285714285713,0.05128949448861784,0.4465662781956998,0.5987269248699995,0.13805095312149968,0.5771252557732731,0.07694978631771143,0.4,0.1853946110383573,0.4832674924099638,5
vanderpol_mu2,tv_weak,TV states + weak,16,0.08,0.05,5,1.0,0.0,0.0177672981439928,0.0201989293783264,0.0030872745411318825,0.9802366297949767,0.0029443885376274613,1.0,0.0275902192718288,0.0589502980402848,5
vanderpol_mu2,tv_weak,TV states + weak,16,0.08,0.1,5,0.9777777777777779,0.022222222222222227,0.0428098123702053,0.040821180750117404,0.005678674964487263,0.9396859078450033,0.023376649261119802,0.8,0.0519698373244197,0.1179036455346503,5
vanderpol_mu2,tv_weak,TV states + weak,16,0.08,0.2,5,0.8387878787878786,0.06911748558498385,0.6111903086163403,0.5361839385984656,0.15981763193681273,0.5902321001021389,0.11037044265104759,0.4,0.1147989275504707,0.2509605746395701,5
vanderpol_mu2,tv_weak,TV states + weak,64,0.32,0.05,5,0.9714285714285715,0.028571428571428564,0.0507283878233812,0.09483786838384453,0.05663821661598403,0.900343225734425,0.06315474569933652,0.8,0.051178613806886,0.1374679352280894,5
vanderpol_mu2,tv_weak,TV states + weak,64,0.32,0.1,5,1.0,0.0,0.0967158338217134,0.1188577739638298,0.036827380886600564,0.8973692679395617,0.02737339981828879,1.0,0.0970162834980855,0.2410317487246074,5
vanderpol_mu2,tv_weak,TV states + weak,64,0.32,0.2,5,0.8647619047619047,0.06327422949284987,0.4465567517336798,0.5755815667291304,0.12164231547336869,0.5728899963180476,0.0798370151885418,0.4,0.1809294747668198,0.4781171035782007,5
