system,sparse_factor,noise,seed,control,delta_f1,delta_error,delta_score,edmd_score_win,edmd_score_tie
burgers,8,0.05,0,pod_tv_weak,0.0,-0.0001588356817735989,0.00015554081572233258,1,0
burgers,8,0.05,1,pod_tv_weak,0.0,0.0004107722292725001,-0.00040863118085632255,0,0
burgers,8,0.05,2,pod_tv_weak,0.0,-0.0006921215536197,0.0006896374913903935,1,0
burgers,8,0.05,3,pod_tv_weak,0.0,-0.0001577881376713,0.00015712195580463995,1,0
burgers,8,0.05,4,pod_tv_weak,0.0,0.00035958362177150073,-0.0003528038360124386,0,0
burgers,8,0.1,0,pod_tv_weak,0.0,-0.0015831304686654002,0.0015720348400720674,1,0
burgers,8,0.1,1,pod_tv_weak,0.0,0.0013594887016905003,-0.0013480032573254253,0,0
burgers,8,0.1,2,pod_tv_weak,0.0,0.002298023601384102,-0.0022147126772452674,0,0
burgers,8,0.1,3,pod_tv_weak,0.0,0.0002732351866788999,-0.00026711510546606476,0,0
burgers,8,0.1,4,pod_tv_weak,0.0,-6.436972777100003e-05,6.394219778682597e-05,1,0
burgers,8,0.2,0,pod_tv_weak,0.0,0.0005465484433894996,-0.0005406248431143457,0,0
burgers,8,0.2,1,pod_tv_weak,0.0,0.001575661685922599,-0.001516223920825177,0,0
burgers,8,0.2,2,pod_tv_weak,0.0,0.0022134448855161,-0.0021089108059195727,0,0
burgers,8,0.2,3,pod_tv_weak,0.33333333333333337,-0.0238578877813009,0.3382027305720553,1,0
burgers,8,0.2,4,pod_tv_weak,-0.19999999999999996,0.044866506711045195,-0.2334678856174538,0,0
burgers,32,0.05,0,pod_tv_weak,0.0,-0.00039441773103470086,0.0003866183636397347,1,0
burgers,32,0.05,1,pod_tv_weak,0.0,0.00039434740580969983,-0.0003869719510716241,0,0
burgers,32,0.05,2,pod_tv_weak,0.0,-0.0004088063230766998,0.0004061876609776638,1,0
burgers,32,0.05,3,pod_tv_weak,0.0,0.0011005846701035993,-0.0010757109140632215,0,0
burgers,32,0.05,4,pod_tv_weak,0.0,-0.0005289487516987003,0.0005253418258753806,1,0
burgers,32,0.1,0,pod_tv_weak,-0.33333333333333337,0.030668289754600998,-0.34583081281733175,0,0
burgers,32,0.1,1,pod_tv_weak,0.0,0.0006729542285190057,-0.00040437493936951174,0,0
burgers,32,0.1,2,pod_tv_weak,0.0,0.004656609186542801,-0.002766411475223829,0,0
burgers,32,0.1,3,pod_tv_weak,0.0,0.006446329384276601,-0.006234959600807999,0,0
burgers,32,0.1,4,pod_tv_weak,0.0,0.0001018177206363012,-9.623583928275448e-05,0,0
burgers,32,0.2,0,pod_tv_weak,-0.13333333333333341,0.0016210197499604978,-0.12780500587413013,0,0
burgers,32,0.2,1,pod_tv_weak,0.0,0.006312331203393494,-0.0037469080795354825,0,0
burgers,32,0.2,2,pod_tv_weak,0.0,-0.003926955750843494,0.0023630244566896774,1,0
burgers,32,0.2,3,pod_tv_weak,0.0,-0.0005192918401569005,0.00031190946913872697,1,0
burgers,32,0.2,4,pod_tv_weak,-0.33333333333333337,0.0316882263041562,-0.3470514591235938,0,0
vanderpol_mu2,16,0.05,0,raw_weak,0.0,-0.000978630506064098,0.0009442526688132613,1,0
vanderpol_mu2,16,0.05,1,raw_weak,0.0,-0.011944590670750502,0.011365331077824448,1,0
vanderpol_mu2,16,0.05,2,raw_weak,0.0,0.007813608266741299,-0.007488191497912022,0,0
vanderpol_mu2,16,0.05,3,raw_weak,0.0,-0.0095685200746602,0.009314196505634253,1,0
vanderpol_mu2,16,0.05,4,raw_weak,0.0,0.0005594822668213012,-0.0005458939516161943,0,0
vanderpol_mu2,16,0.1,0,raw_weak,0.1428571428571429,-0.4420907932718757,0.3925253947804078,1,0
vanderpol_mu2,16,0.1,1,raw_weak,0.0,-0.022655079525353398,0.021201462632436607,1,0
vanderpol_mu2,16,0.1,2,raw_weak,0.0888888888888888,-0.0370383591278602,0.11034843686797435,1,0
vanderpol_mu2,16,0.1,3,raw_weak,0.0,-0.0238347143228362,0.022936625256621435,1,0
vanderpol_mu2,16,0.1,4,raw_weak,0.0,0.0351174885629215,-0.033132347549197805,0,0
vanderpol_mu2,16,0.2,0,raw_weak,-0.33333333333333337,0.6883981072932297,-0.5319598691484737,0,0
vanderpol_mu2,16,0.2,1,raw_weak,-0.25,0.35711693210119577,-0.3390341509159801,0,0
vanderpol_mu2,16,0.2,2,raw_weak,0.1071428571428571,-0.014493352968838247,0.07612078991549026,1,0
vanderpol_mu2,16,0.2,3,raw_weak,0.33333333333333337,-0.4470727034919622,0.44336886067790815,1,0
vanderpol_mu2,16,0.2,4,raw_weak,-0.1071428571428571,-0.036770805714823274,-0.05680174313523656,0,0
vanderpol_mu2,64,0.05,0,raw_weak,0.1428571428571429,-0.2886794980739044,0.32121869850744567,1,0
vanderpol_mu2,64,0.05,1,raw_weak,0.0,-0.0147572486851076,0.014287334575712629,1,0
vanderpol_mu2,64,0.05,2,raw_weak,0.0,0.019146684912447004,-0.018321415772339034,0,0
vanderpol_mu2,64,0.05,3,raw_weak,0.0,-0.037935035730812,0.03442095507388254,1,0
vanderpol_mu2,64,0.05,4,raw_weak,0.0,-0.03434428027803681,0.03216024019400188,1,0
vanderpol_mu2,64,0.1,0,raw_weak,-0.1428571428571429,0.28354758373170774,-0.23800885619240109,0,0
vanderpol_mu2,64,0.1,1,raw_weak,-0.1428571428571429,0.37360896604273036,-0.3363316382091327,0,0
vanderpol_mu2,64,0.1,2,raw_weak,0.0,-0.060429288104869895,0.05316689185706358,1,0
vanderpol_mu2,64,0.1,3,raw_weak,-0.1428571428571429,0.275139202830596,-0.2833842076438593,0,0
vanderpol_mu2,64,0.1,4,raw_weak,-0.25,0.46444835546503865,-0.4570473434049574,0,0
vanderpol_mu2,64,0.2,0,raw_weak,-0.30000000000000004,0.00032488364047733587,-0.16359310579407726,0,0
vanderpol_mu2,64,0.2,1,raw_weak,-0.4571428571428571,0.5022038700376481,-0.38727852063477797,0,0
vanderpol_mu2,64,0.2,2,raw_weak,-0.20454545454545459,0.3943259726752306,-0.14594734346231036,0,0
vanderpol_mu2,64,0.2,3,raw_weak,-0.5,0.8680991454990357,-0.49156056118428126,0,0
vanderpol_mu2,64,0.2,4,raw_weak,0.0,-0.12994836199785043,0.08632354107325335,1,0
vanderpol_mu2,16,0.05,0,linear_weak,0.0,-0.003208837725205898,0.0030893514741887618,1,0
vanderpol_mu2,16,0.05,1,linear_weak,0.0,-0.017431830102036503,0.01649866708149461,1,0
vanderpol_mu2,16,0.05,2,linear_weak,0.0,0.0138833200577973,-0.013384953142998812,0,0
vanderpol_mu2,16,0.05,3,linear_weak,0.0,-0.01431818954434,0.01387291951090186,1,0
vanderpol_mu2,16,0.05,4,linear_weak,0.0,-0.004076836663979398,0.003959682244035201,1,0
vanderpol_mu2,16,0.1,0,linear_weak,0.1428571428571429,-0.4425574448986509,0.3927117040793273,1,0
vanderpol_mu2,16,0.1,1,linear_weak,0.0,-0.0297922243340239,0.027691557750793017,1,0
vanderpol_mu2,16,0.1,2,linear_weak,0.0,0.005770494992339004,-0.004659656342188567,0,0
vanderpol_mu2,16,0.1,3,linear_weak,0.0,-0.032652781894137395,0.03115605103165786,1,0
vanderpol_mu2,16,0.1,4,linear_weak,0.0,0.0317917826991259,-0.029896402340588768,0,0
vanderpol_mu2,16,0.2,0,linear_weak,-0.33333333333333337,0.67036625746937,-0.5174839018867494,0,0
vanderpol_mu2,16,0.2,1,linear_weak,-0.25,0.3621035067934776,-0.3423225616085638,0,0
vanderpol_mu2,16,0.2,2,linear_weak,-0.031746031746031744,0.35307380266281496,-0.20308403114516282,0,0
vanderpol_mu2,16,0.2,3,linear_weak,0.33333333333333337,-0.4384944237781276,0.4411648282327342,1,0
vanderpol_mu2,16,0.2,4,linear_weak,-0.25,0.3638466312397639,-0.36619734651025027,0,0
vanderpol_mu2,64,0.05,0,linear_weak,0.19999999999999996,-0.4523288962920255,0.43162736204235586,1,0
vanderpol_mu2,64,0.05,1,linear_weak,0.33333333333333337,-0.805880581407809,0.6237776527666983,1,0
vanderpol_mu2,64,0.05,2,linear_weak,0.0,-0.0650171083209857,0.05744109270911857,1,0
vanderpol_mu2,64,0.05,3,linear_weak,0.0,-0.10670327535905419,0.09096675420149647,1,0
vanderpol_mu2,64,0.05,4,linear_weak,0.0,-0.1015757389526805,0.08939613131086066,1,0
vanderpol_mu2,64,0.1,0,linear_weak,-0.1428571428571429,0.270290924517232,-0.2297618413494089,0,0
vanderpol_mu2,64,0.1,1,linear_weak,-0.1428571428571429,0.3243142741739878,-0.29590264832014235,0,0
vanderpol_mu2,64,0.1,2,linear_weak,0.0,-0.09563948476431772,0.08152814769129535,1,0
vanderpol_mu2,64,0.1,3,linear_weak,0.19047619047619047,-0.15175156795580708,0.18562142058735437,1,0
vanderpol_mu2,64,0.1,4,linear_weak,-0.25,0.40314700143189725,-0.40452973021730393,0,0
vanderpol_mu2,64,0.2,0,linear_weak,-0.30000000000000004,0.03330379217438051,-0.17157739786832676,0,0
vanderpol_mu2,64,0.2,1,linear_weak,-0.6,0.6326174008611447,-0.5545325712912536,0,0
vanderpol_mu2,64,0.2,2,linear_weak,-0.12121212121212122,0.5102112023309615,-0.12477984757074706,0,0
vanderpol_mu2,64,0.2,3,linear_weak,-0.0714285714285714,0.18539800460677625,-0.053729486676093924,0,0
vanderpol_mu2,64,0.2,4,linear_weak,0.0,-0.1868504789001591,0.11889340391449388,1,0
vanderpol_mu2,16,0.05,0,tv_weak,0.0,-0.0002155065779525997,0.00020809206264837954,1,0
vanderpol_mu2,16,0.05,1,tv_weak,0.0,-0.0129079493604114,0.012270507421171861,1,0
vanderpol_mu2,16,0.05,2,tv_weak,0.0,0.0111301352306121,-0.010701471537614027,0,0
vanderpol_mu2,16,0.05,3,tv_weak,0.0,-0.010402191958610299,0.01011742748214084,1,0
vanderpol_mu2,16,0.05,4,tv_weak,0.0,-0.0049866784354604,0.004839047918981376,1,0
vanderpol_mu2,16,0.1,0,tv_weak,0.0,-0.015643440289471903,0.01472548651380845,1,0
vanderpol_mu2,16,0.1,1,tv_weak,0.0,-0.03186225250740039,0.02955747983491941,1,0
vanderpol_mu2,16,0.1,2,tv_weak,0.0,0.004317687500169198,-0.0034816845615360803,0,0
vanderpol_mu2,16,0.1,3,tv_weak,0.0,-0.0352678700105503,0.03356688094430338,1,0
vanderpol_mu2,16,0.1,4,tv_weak,0.0,0.026552565382643403,-0.02484136907537593,0,0
vanderpol_mu2,16,0.2,0,tv_weak,-0.33333333333333337,0.6531534039236343,-0.5040917643720637,0,0
vanderpol_mu2,16,0.2,1,tv_weak,-0.050000000000000044,-0.3387562269309913,0.056838385664147395,1,0
