system,sparse_factor,noise,seed,method,feature,equation,coef,true_coef
burgers,8,0.1,1,pod_tv_weak,u_xx,0,0.05356726666228802,0.05
burgers,8,0.1,1,pod_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,1,pod_weak,1,0,0.0,0.0
burgers,8,0.1,1,pod_weak,u,0,0.0,0.0
burgers,8,0.1,1,pod_weak,u*u_x,0,-1.001390334006511,-1.0
burgers,8,0.1,1,pod_weak,u^2,0,0.0,0.0
burgers,8,0.1,1,pod_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,1,pod_weak,u_x,0,0.0,0.0
burgers,8,0.1,1,pod_weak,u_xx,0,0.05481110542390879,0.05
burgers,8,0.1,1,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,1,raw_weak,1,0,0.0,0.0
burgers,8,0.1,1,raw_weak,u,0,0.0,0.0
burgers,8,0.1,1,raw_weak,u*u_x,0,-1.000300202544379,-1.0
burgers,8,0.1,1,raw_weak,u^2,0,0.0,0.0
burgers,8,0.1,1,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,1,raw_weak,u_x,0,0.0,0.0
burgers,8,0.1,1,raw_weak,u_xx,0,0.05380333104953309,0.05
burgers,8,0.1,1,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,1,tv_weak,1,0,0.0,0.0
burgers,8,0.1,1,tv_weak,u,0,0.0,0.0
burgers,8,0.1,1,tv_weak,u*u_x,0,-0.9920295657304782,-1.0
burgers,8,0.1,1,tv_weak,u^2,0,0.0,0.0
burgers,8,0.1,1,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,1,tv_weak,u_x,0,0.0,0.0
burgers,8,0.1,1,tv_weak,u_xx,0,0.053238920378353496,0.05
burgers,8,0.1,2,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,2,edmd_weak,1,0,0.0,0.0
burgers,8,0.1,2,edmd_weak,u,0,0.0,0.0
burgers,8,0.1,2,edmd_weak,u*u_x,0,-1.0198091472429176,-1.0
burgers,8,0.1,2,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.1,2,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,2,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.1,2,edmd_weak,u_xx,0,0.04993227148495147,0.05
burgers,8,0.1,2,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,2,linear_weak,1,0,0.0,0.0
burgers,8,0.1,2,linear_weak,u,0,0.0,0.0
burgers,8,0.1,2,linear_weak,u*u_x,0,-1.020964594007088,-1.0
burgers,8,0.1,2,linear_weak,u^2,0,0.0,0.0
burgers,8,0.1,2,linear_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,2,linear_weak,u_x,0,0.0,0.0
burgers,8,0.1,2,linear_weak,u_xx,0,0.051033076479332674,0.05
burgers,8,0.1,2,pod_tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,2,pod_tv_weak,1,0,0.0,0.0
burgers,8,0.1,2,pod_tv_weak,u,0,0.0,0.0
burgers,8,0.1,2,pod_tv_weak,u*u_x,0,-1.0174928420287437,-1.0
burgers,8,0.1,2,pod_tv_weak,u^2,0,0.0,0.0
burgers,8,0.1,2,pod_tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,2,pod_tv_weak,u_x,0,0.0,0.0
burgers,8,0.1,2,pod_tv_weak,u_xx,0,0.05073719189390055,0.05
burgers,8,0.1,2,pod_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,2,pod_weak,1,0,0.0,0.0
burgers,8,0.1,2,pod_weak,u,0,0.0,0.0
burgers,8,0.1,2,pod_weak,u*u_x,0,-1.0201223468593343,-1.0
burgers,8,0.1,2,pod_weak,u^2,0,0.0,0.0
burgers,8,0.1,2,pod_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,2,pod_weak,u_x,0,0.0,0.0
burgers,8,0.1,2,pod_weak,u_xx,0,0.04985283152704865,0.05
burgers,8,0.1,2,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,2,raw_weak,1,0,0.0,0.0
burgers,8,0.1,2,raw_weak,u,0,0.0,0.0
burgers,8,0.1,2,raw_weak,u*u_x,0,-1.0207989987303745,-1.0
burgers,8,0.1,2,raw_weak,u^2,0,0.0,0.0
burgers,8,0.1,2,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,2,raw_weak,u_x,0,0.0,0.0
burgers,8,0.1,2,raw_weak,u_xx,0,0.05093837623122468,0.05
burgers,8,0.1,2,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,2,tv_weak,1,0,0.0,0.0
burgers,8,0.1,2,tv_weak,u,0,0.0,0.0
burgers,8,0.1,2,tv_weak,u*u_x,0,-1.0102606565848764,-1.0
burgers,8,0.1,2,tv_weak,u^2,0,0.0,0.0
burgers,8,0.1,2,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,2,tv_weak,u_x,0,0.0,0.0
burgers,8,0.1,2,tv_weak,u_xx,0,0.04993510479377485,0.05
burgers,8,0.1,3,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,3,edmd_weak,1,0,0.0,0.0
burgers,8,0.1,3,edmd_weak,u,0,0.0,0.0
burgers,8,0.1,3,edmd_weak,u*u_x,0,-0.9887594724865099,-1.0
burgers,8,0.1,3,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.1,3,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.1,3,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.1,3,edmd_weak,u_xx,0,0.052620909651829285,0.05
burgers,8,0.1,3,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.1,3,linear_weak,1,0,0.0,0.0
burgers,8,0.1,3,linear_weak,u,0,0.0,0.0
