system,method,sparse_factor,noise,seed,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
lorenz63,tv_diff,16,0.05,2,0,0.01,0.045263862500158764,"[0.29932733419216506, 0.42123542732528396, 0.46444627925073206]","[0.29932594748194025, 0.4212352600171433, 0.46444566797263276]","[1.3867102248155128e-06, 1.6730814067500432e-07, 6.112780993050571e-07]","[1.3867102248155128e-06, 1.6730814067500432e-07, 6.112780993050571e-07]",1.3867102248155128e-06,1.4121469695330124e-07,"[1.3867100592812598e-06, 1.6730814944576622e-07, 6.112780373546123e-07]",6.374107304474297e-07,1.0425514618273013e-13,0.0,0.9999952928464945,True,75,0.126,1e-05,banded ADMM with dual certificate,0.003632659000231797,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,0.1,0.08280119474263972,"[2.5207558156186556, 3.4718173327927184, 4.261655552551694]","[2.520741128420428, 3.471805016574425, 4.2616555309057365]","[1.4687198227392173e-05, 1.2316218293229042e-05, 2.1645957914984137e-08]","[5.826505739425448e-06, 3.547484534078847e-06, 5.079236847760603e-09]",5.826505739425448e-06,1.397577772066505e-06,"[1.4687180657002585e-05, 1.2316207491203102e-05, 2.1645943260040212e-08]",1.551863192755798e-06,9.864331573794516e-14,0.0,0.9999930121050858,True,150,1.2600000000000002,1e-05,banded ADMM with dual certificate,0.007046898000226065,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,1.0,0.2678419962244473,"[13.394939775932897, 17.164964100949224, 28.21460151015053]","[13.394892711691048, 17.164963968686493, 28.214508817570618]","[4.7064241849525956e-05, 1.322627305455626e-07, 9.269257991206814e-05]","[3.513583684346811e-06, 7.7053892899344e-09, 3.285269858541894e-06]",3.513583684346811e-06,6.469650172480357e-06,"[4.706395094000726e-05, 1.322627447564173e-07, 9.269216250373802e-05]",1.1308657018260782e-05,3.7414515929867775e-14,0.0,0.9999932514922785,True,200,6.3,1e-05,banded ADMM with dual certificate,0.00939513999992414,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,10.0,0.6730492620169134,"[31.64282777984382, 32.942652186785175, 41.98935013659976]","[31.64282777984176, 32.94265218678364, 41.9889604477464]","[2.0605739337042905e-12, 1.5347723092418164e-12, 0.000389688853360326]","[6.51197784231173e-14, 4.6589215116610577e-14, 9.280659312244419e-06]",9.280659312244419e-06,8.041881995879407e-07,"[1.9628743075372768e-12, 1.4717116414431075e-12, 0.00038968884710685603]",1.8474639027488138e-06,9.214851104388799e-14,0.0,0.9999996140753015,True,975,63.0,1e-05,banded ADMM with dual certificate,0.04273564400000396,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,100.0,0.9162090269284044,"[41.50702560089179, 41.126404302180916, 41.9954936549289]","[41.507025600891645, 41.12640430218089, 41.99549365492889]","[1.4210854715202004e-13, 2.842170943040401e-14, 7.105427357601002e-15]","[3.4237227335549384e-15, 6.910817979994623e-16, 1.691949954436851e-16]",3.4237227335549384e-15,1.7885692926711272e-13,"[1.2234794606758287e-13, 7.477066168681044e-14, 1.1089818725577061e-14]",2.7755575615628914e-17,1.7885692926711272e-13,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.00032793499985928065,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,0,1000.0,0.9162090269284044,"[41.50702560089287, 41.12640430218158, 41.995493654929]","[41.507025600891645, 41.12640430218089, 41.99549365492889]","[1.2221335055073723e-12, 6.892264536872972e-13, 1.0658141036401503e-13]","[2.9444015508571704e-14, 1.675873360148669e-14, 2.5379249316552703e-15]",2.9444015508571704e-14,1.7885692926711272e-13,"[1.2037095088611752e-12, 7.355702017732757e-13, 1.1079034000191283e-13]",2.7755575615628914e-17,1.7885692926711272e-13,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.00030927600028007873,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,1,0.0,0.08921654468547385,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0003238680001231842,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,1,0.0001,0.04963368693802001,"[0.0032006981209411187, 0.004505799881473309, 0.005081238745491305]","[0.0032006972387408628, 0.0045046105241861294, 0.0050799568725671245]","[8.822002559895348e-10, 1.1893572871794073e-06, 1.281872924180534e-06]","[8.822002559895348e-10, 1.1893572871794073e-06, 1.281872924180534e-06]",1.281872924180534e-06,8.324657633677424e-08,"[8.822002546884922e-10, 1.1893572063464974e-06, 1.2818728784098551e-06]",1.515125147899532e-06,2.710505431213761e-20,0.0,0.9997225411042501,True,125,0.04,1e-05,banded ADMM with dual certificate,0.005547536999984004,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,1,0.001,0.05192067198949851,"[0.03191068183051648, 0.04496349964438945, 0.05074218747015626]","[0.031910554302009966, 0.04496303253648739, 0.05074159049352668]","[1.2752850651193137e-07, 4.671079020593383e-07, 5.969766295813028e-07]","[1.2752850651193137e-07, 4.671079020593383e-07, 5.969766295813028e-07]",5.969766295813028e-07,3.775605749052613e-08,"[1.275285045482244e-07, 4.67107891352625e-07, 5.969766172647661e-07]",3.278914176840786e-07,4.336808689942018e-19,0.0,0.999987414644873,True,75,0.0504,1e-05,banded ADMM with dual certificate,0.003757197000140877,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,2,1,0.01,0.055886185729650865,"[0.30970913525928995, 0.4413518861480088, 0.5008568487947574]","[0.30970893874378835, 0.44134812992659184, 0.5008561656390287]","[1.9651550159371922e-07, 3.756221416961747e-06, 6.831557287645396e-07]","[1.9651550159371922e-07, 3.756221416961747e-06, 6.831557287645396e-07]",3.756221416961747e-06,2.59553350520636e-07,"[1.9651549726384943e-07, 3.756220773087904e-06, 6.831557152753298e-07]",3.6897796884538536e-07,3.469446951953614e-18,0.0,0.9999913482287738,True,75,0.126,1e-05,banded ADMM with dual certificate,0.0036478420001913037,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
