system,noise,sparse_factor,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
burgers,0.05,32,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.033700322221666815,0.011154933310887967,0,0,0,-0.011483862942021684,0.003591232241625224,0,0,0
burgers,0.1,32,pod_tv_diff,5,5,-0.05333333333333332,0.053333333333333316,0,4,0,0.26726004142684207,0.058518075881679066,0,0,0,-0.08754683335615629,0.03589339135716783,0,0,0
burgers,0.2,32,pod_tv_diff,5,5,-0.1311111111111111,0.05582158527591319,0,2,0,0.12335045865729084,0.016810102127980085,0,0,0,-0.08933090841649968,0.02740538044298561,0,0,0
burgers,0.5,32,pod_tv_diff,5,5,-0.011111111111111117,0.023830678432808006,1,3,1,0.04987423455928921,0.007203899224706318,0,0,0,-0.010892767430575661,0.011984601644259497,1,0,1
fisher_kpp,0.05,8,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.0014572029306402015,0.0010805760392855685,2,0,2,-0.0010948266179295675,0.0008123344729782044,2,0,2
fisher_kpp,0.1,8,pod_tv_diff,5,5,-0.09142857142857146,0.05598833697790123,0,3,0,0.2657320155694335,0.1655906225608925,0,0,0,-0.17832167608308097,0.10497833702033223,0,0,0
fisher_kpp,0.2,8,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.03953140950819485,0.015821547851486158,1,0,1,-0.028229638577680637,0.011188978019099861,1,0,1
fisher_kpp,0.5,8,pod_tv_diff,5,5,0.13090909090909097,0.040274539941420974,4,1,4,-0.7127800276623975,0.11651473331977068,5,0,5,0.3387991567727645,0.07483503432334643,5,0,5
fisher_kpp,0.05,32,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.01509724983713362,0.003922966730513261,0,0,0,-0.011112331152115473,0.0028546048217047634,0,0,0
fisher_kpp,0.1,32,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.16083252398760423,0.12303330896580754,0,0,0,-0.08024095233113018,0.05528209447813208,0,0,0
fisher_kpp,0.2,32,pod_tv_diff,5,5,0.0,0.0,0,5,0,-0.08966780526844344,0.15295559626080868,2,0,2,0.012161283531241508,0.055039564882104555,2,0,2
fisher_kpp,0.5,32,pod_tv_diff,5,5,0.05939393939393944,0.042861384196967715,3,0,3,0.06060126835178292,0.25582400034934333,2,0,2,0.06704274725809552,0.08237064148648132,3,0,3
advection_diffusion,0.05,4,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.002486183607153099,0.000928083353210867,0,0,0,-0.00153526687096317,0.0005713429591930202,0,0,0
advection_diffusion,0.1,4,pod_tv_diff,5,5,0.0,0.0,0,5,0,0.007921909117990539,0.0035690748710267874,1,0,1,-0.004266100760777913,0.0019352764493466743,1,0,1
advection_diffusion,0.2,4,pod_tv_diff,5,5,-0.05333333333333332,0.053333333333333316,0,4,0,0.19369218924092196,0.06866059225761667,0,0,0,-0.09632722723402808,0.05065231413123287,0,0,0
advection_diffusion,0.5,4,pod_tv_diff,5,5,-0.06444444444444444,0.08695110020672821,2,1,2,0.1838961574585979,0.03171803645471316,0,0,0,-0.06723748938287157,0.04911942177787482,1,0,1
advection_diffusion,0.05,16,pod_tv_diff,5,5,0.0,0.0,0,5,0,-0.0037739037288417017,0.0020755512595427243,4,0,4,0.0020801298250405775,0.0011257089317982033,4,0,4
advection_diffusion,0.1,16,pod_tv_diff,5,5,-0.08444444444444443,0.04106604136128072,0,2,0,0.2003085188301358,0.06827104797086457,0,0,0,-0.10456823565951141,0.04292586120932467,0,0,0
advection_diffusion,0.2,16,pod_tv_diff,5,5,0.057777777777777775,0.05935871284085813,2,2,2,0.050266645297338264,0.03721147978001819,2,0,2,0.022740507196846182,0.03821859862550106,3,0,3
advection_diffusion,0.5,16,pod_tv_diff,5,5,-0.0022222222222222365,0.08580770922803474,2,1,2,0.11541979027121485,0.022792798876574445,0,0,0,-0.015664754833967225,0.04530088649859169,2,0,2
