system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,edmd_poly3,16,0.05,2,x*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*z,1,-0.9686354701359213,-1.0
lorenz63,edmd_poly3,16,0.05,2,x*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*x,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*x,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*x,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*x*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*y*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,x*z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y*y,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y*y,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y*y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*y*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,y*z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z*z*z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z*z*z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,2,z*z*z,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,1,0,1.000592862061651,0.0
lorenz63,tv_diff,16,0.05,2,1,1,0.11672734366459028,0.0
lorenz63,tv_diff,16,0.05,2,1,2,7.970803294774713,0.0
lorenz63,tv_diff,16,0.05,2,x,0,-12.534036642321857,-10.0
lorenz63,tv_diff,16,0.05,2,x,1,26.857936397567105,28.0
lorenz63,tv_diff,16,0.05,2,x,2,0.0,0.0
lorenz63,tv_diff,16,0.05,2,y,0,11.464431821973191,10.0
lorenz63,tv_diff,16,0.05,2,y,1,-2.9700684304724314,-1.0
lorenz63,tv_diff,16,0.05,2,y,2,0.15321652684680512,0.0
lorenz63,tv_diff,16,0.05,2,z,0,0.0,0.0
lorenz63,tv_diff,16,0.05,2,z,1,0.0,0.0
