system,sparse_factor,noise,seed,comparator,support_f1_edmd,support_f1_other,support_f1_delta,coef_error_edmd,coef_error_other,coef_error_delta,practical_score_edmd,practical_score_other,practical_score_delta
burgers,8,0.05,1,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.2606855318459842,0.2185770785962157,0.0421084532497685,0.5288128163813275,0.547086169907822,-0.018273353526494507
burgers,8,0.05,3,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.3071767843864741,0.2148889559737583,0.09228782841271582,0.5100049776201984,0.5487469973190428,-0.03874201969884439
burgers,8,0.05,4,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.2599770473416677,0.214838312790052,0.04513873455161571,0.5291101675806057,0.5487698730340256,-0.019659705453419885
burgers,8,0.1,0,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.7149838813176542,0.3363252656397303,0.3786586156779239,0.3887305728812181,0.4988805374023349,-0.1101499645211168
burgers,8,0.1,1,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.5795599586576884,0.3320565777732475,0.2475033808844409,0.422058474585036,0.5004792422414294,-0.07842076765639339
burgers,8,0.1,2,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.5639191583408755,0.3202433606460479,0.24367579769482756,0.4262794934834851,0.504957409019228,-0.07867791553574294
burgers,8,0.2,0,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.8241134502519766,0.5909926636221343,0.23312078662984226,0.3654743440297398,0.4190256070376211,-0.05355126300788132
burgers,8,0.1,3,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.5755185130099744,0.3096043391964122,0.26591417381356214,0.4231411190421512,0.5090596042738684,-0.08591848523171725
burgers,8,0.2,1,pod_tv_diff,0.5,0.6666666666666666,-0.16666666666666663,0.8178463382782452,0.588566532336288,0.22927980594195718,0.2750507506996273,0.4196655620625514,-0.1446148113629241
burgers,8,0.1,4,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.6559864310452584,0.3136915047751194,0.342294926270139,0.4025797881966138,0.5074758147125173,-0.10489602651590357
burgers,8,0.5,0,pod_tv_diff,0.6666666666666666,0.5,0.16666666666666663,0.8601379518145706,0.8566043550452245,0.00353359676934617,0.3583963576552648,0.2693088587459554,0.08908749890930939
burgers,8,0.2,3,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.7921948609549534,0.6096490882747096,0.18254577268024375,0.3719833602867491,0.4141689462149966,-0.042185585928247504
burgers,8,0.2,4,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.7515779680555014,0.5913531962418243,0.1602247718136771,0.3806091871586857,0.4189306737442584,-0.03832148658557272
burgers,8,0.2,2,pod_tv_diff,0.5,0.6666666666666666,-0.16666666666666663,0.7397576064576584,0.564404291076546,0.17535331538111243,0.2873963580582102,0.4261473012247361,-0.13875094316652592
burgers,8,0.5,2,pod_tv_diff,0.4,0.6666666666666666,-0.2666666666666666,1.0025575286217383,0.8493455076348301,0.15321202098690823,0.1997445737677759,0.3604878936436717,-0.16074331987589577
burgers,8,0.5,1,pod_tv_diff,0.4444444444444444,0.6666666666666666,-0.2222222222222222,1.0416770352678515,0.8560472544693122,0.1856297807985393,0.2176859693120547,0.3591862572794691,-0.14150028796741443
burgers,8,0.5,3,pod_tv_diff,0.4444444444444444,0.6666666666666666,-0.2222222222222222,0.9363104068833834,0.8695837794758784,0.06672662740750501,0.2295316096347416,0.3565856069063461,-0.12705399727160452
burgers,32,0.05,0,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.3692679992664052,0.353269160548835,0.015998838717570185,0.4868781473194714,0.4926341973213161,-0.005756050001844704
burgers,8,0.5,4,pod_tv_diff,0.4444444444444444,0.5,-0.05555555555555558,1.0104853326656007,0.8665528533387085,0.14393247932689224,0.2210632613047606,0.2678734754848482,-0.0468102141800876
burgers,32,0.05,1,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.3853679645719829,0.3699978453425864,0.015370119229396517,0.4812199240312569,0.4866187701922682,-0.005398846161011273
burgers,32,0.05,2,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.4643523382328587,0.3883250306296832,0.0760273076031755,0.4552638386682143,0.4801949485591972,-0.024931109890982905
burgers,32,0.05,3,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.3755593633842509,0.3412701950605011,0.034289168323749786,0.4846513239722966,0.4970412890123119,-0.012389965040015327
burgers,32,0.05,4,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.4273200668589886,0.4005038896245465,0.026816177234442073,0.467075803210528,0.4760191468267822,-0.008943343616254207
burgers,32,0.1,0,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.6966949999699988,0.4922652761850393,0.20442972378495955,0.3929207469099954,0.4467480931882253,-0.05382734627822988
burgers,32,0.1,2,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.7657695409479004,0.553446609317947,0.21232293162995342,0.3775502132111683,0.4291532535896885,-0.051603040378520204
burgers,32,0.1,1,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.7201890280520127,0.5492488753034929,0.1709401527485198,0.3875543069947478,0.4303160565703614,-0.04276174957561363
burgers,32,0.1,3,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.8257237852408883,0.5725137660900844,0.2532100191508039,0.3651519863278255,0.4239496537599629,-0.058797667432137435
burgers,32,0.1,4,pod_tv_diff,0.4,0.6666666666666666,-0.2666666666666666,1.0666251701115428,0.5712277902915692,0.49539737981997356,0.1935522734286695,0.4242966365449498,-0.2307443631162803
burgers,32,0.2,0,pod_tv_diff,0.6666666666666666,0.6666666666666666,0.0,0.8898204963759662,0.7702658554858679,0.11955464089009826,0.3527671902940553,0.376591269950068,-0.023824079656012687
burgers,32,0.2,1,pod_tv_diff,0.4444444444444444,0.6666666666666666,-0.2222222222222222,0.9626978448123412,0.8701937487181974,0.09250409609414378,0.2264456781359226,0.3564693054522238,-0.13002362731630118
burgers,32,0.2,2,pod_tv_diff,0.5,0.5,0.0,0.9183599681360356,0.7315575774062179,0.18680239072981775,0.2606393003946086,0.2887573630378342,-0.02811806264322564
burgers,32,0.2,3,pod_tv_diff,0.5,0.6666666666666666,-0.16666666666666663,0.9454670517005704,0.8475789499499382,0.09788810175063223,0.2570076936347703,0.3608325731816389,-0.10382487954686864
burgers,32,0.2,4,pod_tv_diff,0.4,0.6666666666666666,-0.2666666666666666,0.9321562281251544,0.8121531643033922,0.12000306382176218,0.2070225969191608,0.3678864898392511,-0.1608638929200903
burgers,32,0.5,0,pod_tv_diff,0.4,0.4,0.0,1.0090751952630954,0.9837062455867548,0.025368949676340624,0.19909657983091,0.2016427587955116,-0.002546178964601603
burgers,32,0.5,1,pod_tv_diff,0.4,0.4,0.0,1.014584614045943,0.9483563228872992,0.0662282911586437,0.1985520971475452,0.2053012558848752,-0.00674915873732998
burgers,32,0.5,3,pod_tv_diff,0.4,0.4,0.0,1.028457831552131,0.9672235825709188,0.061234248981212325,0.1971941411737057,0.2033322513739131,-0.006138110200207381
burgers,32,0.5,2,pod_tv_diff,0.4,0.5,-0.09999999999999998,0.9986377068401986,0.9545964020022776,0.044041304837921014,0.2001363221713609,0.255807285579674,-0.05567096340831312
burgers,32,0.5,4,pod_tv_diff,0.4444444444444444,0.4,0.0444444444444444,1.0339841384578532,0.9814857603155248,0.052498378142328384,0.2185092971184218,0.201868722960848,0.01664057415757378
fisher_kpp,8,0.05,0,pod_tv_diff,0.8,0.8,0.0,0.0305086936614158,0.0309399350591942,-0.00043124139777839937,0.7763156244297035,0.7759908921891419,0.0003247322405616204
fisher_kpp,8,0.05,3,pod_tv_diff,0.8,0.8,0.0,0.0270138781584578,0.0227188561309054,0.0042950220275524,0.7789573412917095,0.7822286596206084,-0.003271318328898931
fisher_kpp,8,0.05,1,pod_tv_diff,0.8,0.8,0.0,0.0412601375801396,0.0412598138151395,3.2376500010145026e-07,0.7682998427839353,0.7683000816758961,-2.388919608797835e-07
fisher_kpp,8,0.05,2,pod_tv_diff,0.8,0.8,0.0,0.0421984383081373,0.0383100793273855,0.0038883589807518007,0.7676081354513327,0.7704827449216691,-0.0028746094703364644
fisher_kpp,8,0.1,0,pod_tv_diff,0.5714285714285714,0.8,-0.22857142857142865,0.8513231747433201,0.0299102784050415,0.8214128963382786,0.3086595464391559,0.7767666919869084,-0.4681071455477525
fisher_kpp,8,0.1,1,pod_tv_diff,0.8,0.8,0.0,0.0326007262760119,0.0228705689752167,0.009730157300795197,0.7747428213469625,0.782112638944628,-0.007369817597665529
fisher_kpp,8,0.05,4,pod_tv_diff,0.8,0.8,0.0,0.0363250333815421,0.036791482103867,-0.0004664487223248956,0.771958578853962,0.7716112774929752,0.0003473013609868181
fisher_kpp,8,0.1,2,pod_tv_diff,0.8,0.8,0.0,0.0254271146333872,0.0230996629972418,0.0023274516361454015,0.7801627132573119,0.7819375071010621,-0.001774793843750233
fisher_kpp,8,0.1,3,pod_tv_diff,0.5714285714285714,0.8,-0.22857142857142865,0.5000711006402374,0.0243896965530467,0.47568140408719073,0.3809343245028072,0.7809527982289434,-0.4000184737261362
fisher_kpp,8,0.2,0,pod_tv_diff,0.8,0.8,0.0,0.0948744104797303,0.0282693670634872,0.0666050434162431,0.7306774113475462,0.7780062555832284,-0.04732884423568229
fisher_kpp,8,0.2,1,pod_tv_diff,0.8,0.8,0.0,0.1053814217057284,0.0222024665593953,0.0831789551463331,0.7237320840488793,0.7826238207903168,-0.05889173674143744
fisher_kpp,8,0.1,4,pod_tv_diff,0.8,0.8,0.0,0.0530936260218168,0.0335854575370595,0.019508168484757303,0.7596665483790769,0.7740046980791773,-0.014338149700100389
fisher_kpp,8,0.2,2,pod_tv_diff,0.8,0.8,0.0,0.0219590349943389,0.0242977887090008,-0.002338753714661898,0.7828102424912086,0.7810228712963444,0.0017873711948641624
fisher_kpp,8,0.2,3,pod_tv_diff,0.8,0.8,0.0,0.0661028441940214,0.0310210595441503,0.035081784649871106,0.7503966473373436,0.7759298344048445,-0.025533187067500962
fisher_kpp,8,0.2,4,pod_tv_diff,0.8,0.8,0.0,0.0480130896960943,0.0328830716529054,0.015130018043188899,0.7633492442656286,0.7745310403042752,-0.011181796038646663
fisher_kpp,8,0.5,0,pod_tv_diff,0.8,0.6666666666666666,0.13333333333333341,0.059665410699677,0.8859039342193554,-0.8262385235196784,0.7549552829810451,0.3534998016442573,0.40145548133678777
