setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_rbf,residual_corrected,8,64,0.1,0.5263157894736842,1.6032028797244542,0.2021800888332584,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,8,64,0.1,0.4166666666666667,1.3365340879819907,0.1783268084167057,0.1,ok
ODE,lorenz63,edmd_poly3,baseline,9,64,0.1,0.6666666666666666,1.0287223422888214,0.32861405071062005,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,9,64,0.1,0.6666666666666666,1.0670857710866841,0.32251524150165983,1.0,ok
ODE,lorenz63,edmd_poly3,global_rollout,9,64,0.1,0.45454545454545453,2.3519496503301265,0.1356062894622201,0.3,ok
ODE,lorenz63,edmd_poly3,residual_corrected,9,64,0.1,0.47058823529411764,1.2222564812789325,0.21176144124610183,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,9,64,0.1,0.6153846153846154,1.068265147114923,0.2975366172190405,1.0,ok
ODE,lorenz63,edmd_rbf,baseline,9,64,0.1,0.6666666666666666,1.0287223422888214,0.32861405071062005,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,9,64,0.1,0.3333333333333333,1.5352608892349149,0.1314789080479705,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,9,64,0.1,0.26666666666666666,1.0508231736552545,0.13002908787663894,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,9,64,0.1,0.6666666666666666,1.0652754543768879,0.3227979421601202,1.0,ok
ODE,lorenz63,edmd_rbf,two_sided,9,64,0.1,0.7272727272727273,1.0466316722426328,0.35535105663434075,1.0,ok
ODE,lorenz63,edmd_poly3,baseline,10,64,0.1,0.6666666666666666,1.0272831623817085,0.328847335703932,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,10,64,0.1,0.45454545454545453,1.2729403990721984,0.19998124664025393,0.1,ok
ODE,lorenz63,edmd_poly3,global_rollout,10,64,0.1,0.4444444444444444,3.0831642519215023,0.10884804456134545,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,10,64,0.1,0.5882352941176471,1.3239623192969778,0.2531173974867175,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,10,64,0.1,0.3076923076923077,6.268310105319292,0.04233340394586686,1.0,ok
ODE,lorenz63,edmd_rbf,baseline,10,64,0.1,0.6666666666666666,1.0272831623817085,0.328847335703932,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,10,64,0.1,0.42857142857142855,1.161302278651894,0.19829314612981797,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,10,64,0.1,0.47058823529411764,1.0952044449636038,0.22460253767850916,0.3,ok
ODE,lorenz63,edmd_rbf,residual_corrected,10,64,0.1,0.4,1.5886333056932693,0.15452169263227294,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,10,64,0.1,0.48,2.1446597726582985,0.15263972407235585,0.1,ok
ODE,lorenz63,edmd_poly3,baseline,11,64,0.1,0.4444444444444444,1.0556814869231699,0.21620297077718212,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,11,64,0.1,0.5,1.0392797334033688,0.2451846070011917,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,11,64,0.1,0.4444444444444444,6.738117618500729,0.0574357313181492,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,11,64,0.1,0.5555555555555556,1.458163917471375,0.2260042756331057,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,11,64,0.1,0.42857142857142855,1.8764792636072536,0.14899166282672166,0.03,ok
