setting,system,method,strategy,seed,sparse_factor,noise,support_f1_archived,coef_error_archived,practical_score_archived,threshold_archived,status_archived,support_f1_reexecuted,coef_error_reexecuted,practical_score_reexecuted,threshold_reexecuted,status_reexecuted,coefficient_error_drift
PDE,burgers,pod_edmd_rbf,baseline,13,32,0.1,0.6666666666666666,0.7165611310805643,0.3883733906097502,0.1,ok,0.6666666666666666,0.7165611310805348,0.3883733906097568,0.1,ok,-2.9531932455029164e-14
PDE,burgers,pod_edmd_rbf,baseline,14,32,0.1,0.6666666666666666,0.7367794155697244,0.3838522386263869,0.1,ok,0.6666666666666666,0.736779415569731,0.3838522386263854,0.1,ok,6.661338147750939e-15
PDE,burgers,pod_edmd_rbf,baseline,15,32,0.1,0.6666666666666666,0.7327527072261927,0.3847442649412293,0.1,ok,0.6666666666666666,0.7327527072261758,0.384744264941233,0.1,ok,-1.687538997430238e-14
PDE,burgers,pod_edmd_rbf,baseline,16,32,0.1,0.6666666666666666,0.7553602307964641,0.3797890911338342,0.1,ok,0.6666666666666666,0.755360230796504,0.3797890911338256,0.1,ok,3.9968028886505635e-14
PDE,burgers,pod_edmd_rbf,baseline,17,32,0.1,0.6666666666666666,0.7600462386176107,0.3787779275562017,0.1,ok,0.6666666666666666,0.7600462386175585,0.3787779275562129,0.1,ok,-5.218048215738236e-14
PDE,burgers,pod_edmd_rbf,baseline,18,32,0.1,0.6666666666666666,0.7467130608996956,0.3816692515731693,0.1,ok,0.6666666666666666,0.7467130608996942,0.3816692515731696,0.1,ok,-1.3322676295501878e-15
PDE,burgers,pod_edmd_rbf,baseline,19,32,0.1,0.6666666666666666,0.761773742620904,0.3784065175559373,0.1,ok,0.6666666666666666,0.7617737426208926,0.3784065175559398,0.1,ok,-1.1435297153639112e-14
PDE,fisher_kpp,pod_edmd_rbf,baseline,0,32,0.1,0.8,0.0544216317981165,0.7587097759325664,0.1,ok,0.8,0.0544336360258597,0.7587011383809652,0.1,ok,1.2004227743195317e-05
PDE,fisher_kpp,pod_edmd_rbf,baseline,1,32,0.1,0.8,0.0515716948896633,0.760766007574919,0.3,ok,0.8,0.0515696782534567,0.7607674665255786,0.3,ok,-2.0166362066018073e-06
PDE,fisher_kpp,pod_edmd_rbf,baseline,2,32,0.1,0.8,0.0539824222352504,0.7590259411569568,0.1,ok,0.8,0.0539881974024122,0.7590217821903752,0.1,ok,5.775167161804762e-06
PDE,fisher_kpp,pod_edmd_rbf,baseline,3,32,0.1,0.8,0.1018298979062185,0.7260648867127505,0.3,ok,0.8,0.1018323011843376,0.7260633030453871,0.3,ok,2.4032781190952424e-06
